"#","ML #","Change","Mls Status","Standard Status","Address","Listing Contract Date","Available Date ","City","$/LivSqFt","Subdivision Name","SqFt","Beds Total","Bath Total","GAR/CP/TCP","Lot Size Area","Pool YN","Current Price","Close Date","Close Price"
"1","20883864","","Closed","Closed","463 Preserve  Boulevard ","03/27/2025","","Bossier City","$190.54","The Preserve","1,705","4","2","2/0/2","0.1200","No","$324,872","07/04/2025","$324,872"
"1","20890593","","Closed","Closed","5505 Hollyhock  Lane ","04/06/2025","","Bossier City","$113.47","Golden Meadows","1,485","3","2","2/0/2","0.2500","No","$168,500","07/04/2025","$168,500"
"1","20939788","","Closed","Closed","1737 Turning Leaf  Trail ","05/20/2025","","Haughton","$164.01","Forest Hills Sub","2,006","3","2","2/0/2","0.4110","No","$329,000","07/07/2025","$329,000"
"1","20819721","","Closed","Closed","2305 Brookhaven  Drive ","01/17/2025","","Bossier City","$155.62","Brookhaven Estate","1,735","3","2","2/0/2","0.2570","Yes","$270,000","07/07/2025","$270,000"
"1","20902965","","Closed","Closed","1673 Sligo  Road ","04/21/2025","","Bossier City","$96.57","Killens Farms Sub","1,864","4","2","/0/0","1.0780","No","$180,000","07/07/2025","$180,000"
"1","20798464","","Closed","Closed","305 Canvas Back  Drive ","12/16/2024","","Princeton","$77.02","Gray Duck North 01","2,324","5","3","/0/0","0.3850","No","$179,000","07/07/2025","$179,000"
"1","20831054","","Closed","Closed","1235 Norris  Drive ","02/10/2025","","Bossier City","$121.64","Meadowview Park 03","1,192","3","1","0/0/0","0.2420","No","$145,000","07/07/2025","$145,000"
"1","20956228","","Closed","Closed","1815 Fox  Street ","06/03/2025","","Bossier City","$120.09","Shady Grove Sub Un 4","1,165","3","2","1/0/1","0.2390","No","$139,900","07/07/2025","$139,900"
"1","20950327","","Closed","Closed","1029 Mack  Drive ","05/28/2025","","Haughton","$47.15","Shady Park Sub","1,824","3","2","/2/2","0.0800","No","$86,000","07/07/2025","$86,000"
"1","20929351","","Closed","Closed","169 Sitka  Loop ","05/07/2025","","Haughton","$205.00","Pin Oak Landing","2,425","4","3","2/0/2","0.4100","No","$497,125","07/08/2025","$497,125"
"1","20993803","","Closed","Closed","207 Marble  Place ","07/08/2025","","Haughton","$201.99","Corner Stone","2,411","4","3","3/3/3","0.5000","No","$487,000","07/08/2025","$487,000"
"1","20964336","","Closed","Closed","413 Fair Oaks  Street ","06/13/2025","","Bossier City","$160.25","The Gardens of Southgate","1,869","4","2","2/2/2","0.1640","No","$299,500","07/08/2025","$299,500"
"1","20936828","","Closed","Closed","175 Bent Tree  Loop ","05/14/2025","","Haughton","$165.66","Southern Oaks #2","1,660","4","2","2/0/2","0.2340","No","$275,000","07/08/2025","$275,000"
"1","20912106","","Closed","Closed","157 Robin  Lane ","04/28/2025","","Bossier City","$170.42","North Airline Acres #iii","1,511","3","2","2/0/2","0.6360","No","$257,500","07/08/2025","$257,500"
"1","20911246","","Closed","Closed","6000 Summerville  Lane ","04/21/2025","","Bossier City","$142.73","Lafayette Park 03","1,664","3","2","2/0/2","0.1550","No","$237,500","07/08/2025","$237,500"
"1","20843556","","Closed","Closed","314 Lake  Road ","02/13/2025","","Plain Dealing","$118.69","Lake Road","1,980","4","2","0/0/0","0.8410","No","$235,000","07/08/2025","$235,000"
"1","20665967","","Closed","Closed","3317 Cane Break ","07/12/2024","","Bossier City","$149.20","Legacy","1,374","3","2","2/0/2","0.1380","No","$205,000","07/08/2025","$205,000"
"1","20925286","","Closed","Closed","1366 Fuller Cemetery  Road ","05/05/2025","","Minden","$157.52","Minden","1,968","3","2","/2/2","2.0200","No","$310,000","07/09/2025","$310,000"
"1","20950006","","Closed","Closed","398 Winwood  Drive ","05/28/2025","","Sibley","$100.89","Rural","1,912","4","2","2/2/4","1.2800","No","$192,900","07/09/2025","$192,900"
"1","20813866","","Closed","Closed","2406 Melrose  Avenue ","01/10/2025","","Bossier City","$53.19","Greenacres Sub","3,384","4","3","2/0/2","0.2250","No","$180,000","07/09/2025","$180,000"
"1","20904575","","Closed","Closed","720 Venecia  Drive ","04/15/2025","","Bossier City","$155.05","THE COVE AT VILLAGGIO","1,690","3","2","2/0/2","0.1300","No","$262,030","07/10/2025","$262,030"
"1","20960261","","Closed","Closed","2443 Brookside  Drive ","06/05/2025","","Bossier City","$166.45","Brookhaven Sub","1,508","3","2","2/2/2","0.3350","No","$251,000","07/10/2025","$251,000"
"1","20903286","","Closed","Closed","714 Venecia  Drive ","04/14/2025","","Bossier City","$162.51","THE COVE AT VILLAGGIO","1,461","3","2","2/0/2","0.1300","No","$237,430","07/10/2025","$237,430"
