"#","ML #","Change","PType","Property Sub Type","Mls Status","Listing Contract Date","Address","Subdivision Name","SqFt","Beds Total","Bath Total","Acres","Lot Size Square Feet","Current Price"
"1","20790751","","COMS","Office","Active","12/04/2024","203 Pearl  Street ","Inside city limits","","","","0.621","27,051","$1,150,000"
"1","21095331","","COMS","Business","Active","10/23/2025","15299 La-531 ","not known","","","","1.390","60,548","$950,000"
"1","21273071","","RESI","Single Family","Active","05/16/2026","132 Dugan  Road ","Evans J O Prop","3,955","3","5","3.550","154,638","$650,000"
"1","21320564","N","COMS","Business","Active","07/02/2026","507 Main  Street ","Downtown Minden","","","","0.100","4,356","$600,000"
"1","21199834","$","RESI","Single Family","Active","03/05/2026","703 Airport  Loop ","Beaver Point Estates","2,075","2","2","1.000","43,560","$425,000"
"1","20855420","","RESI","Single Family","Active","02/26/2025","2534 Highway 146 ","Rural","3,848","4","3","6.600","287,496","$369,000"
"1","21315995","N","RESI","Single Family","Active","06/29/2026","105 Woodhaven  Drive ","Woodhaven Sub","3,780","4","4","0.618","26,920","$365,000"
"1","21227446","","RESI","Single Family","Active","04/02/2026","741 Beverly  Drive ","Forest Park Add","5,355","4","4","0.981","42,732","$299,000"
"1","21281022","","RESI","Single Family","Active","05/26/2026","749 Beverly  Drive ","Forest Park Add","2,615","3","2","1.308","56,976","$244,850"
"1","21297914","","RESI","Single Family","Active","06/10/2026","714 Butler  Street ","North acres","2,616","4","3","0.550","23,958","$150,000"
"1","21106607","","LAND","Improved Land","Active","11/15/2025","201 Millwood  Loop #1 ","Millwood Landing","","","","1.310","57,064","$64,000"
"1","21107243","","LAND","Improved Land","Active","11/15/2025","203 Millwood  Loop #2 ","Millwood Landing","","","","1.320","57,499","$64,000"
"1","21107412","","LAND","Improved Land","Active","11/15/2025","205 Millwood  Loop #3 ","Millwood Landing","","","","1.330","57,935","$64,000"
"1","21107455","","LAND","Improved Land","Active","11/15/2025","207 Millwood  Loop #4 ","Millwood Landing","","","","1.090","47,480","$64,000"
"1","21108242","","LAND","Improved Land","Active","11/15/2025","225 Millwood  Loop #13 ","Millwood Landing","","","","1.310","57,064","$64,000"
"1","21108260","","LAND","Improved Land","Active","11/15/2025","233 Millwood  Loop #17 ","Millwood Landing","","","","1.100","47,916","$64,000"
"1","21108262","","LAND","Improved Land","Active","11/15/2025","235 Millwood  Loop #18 ","Millwood Landing","","","","1.240","54,014","$64,000"
"1","21108264","","LAND","Improved Land","Active","11/15/2025","237 Millwood  Loop #19 ","Millwood Landing","","","","1.710","74,488","$64,000"
"1","21108272","","LAND","Improved Land","Active","11/15/2025","239 Millwood  Loop #20 ","Millwood Landing","","","","1.360","59,242","$64,000"
"1","21110091","","LAND","Improved Land","Active","11/15/2025","251 Millwood  Loop #26 ","Millwood Landing","","","","1.100","47,916","$64,000"
"1","21110459","","LAND","Improved Land","Active","11/15/2025","257 Millwood  Loop #28 ","Millwood Landing","","","","1.100","47,916","$64,000"
"1","21110462","","LAND","Improved Land","Active","11/15/2025","259 Millwood  Loop #29 ","Millwood Landing","","","","1.100","47,916","$64,000"
"1","21110467","","LAND","Improved Land","Active","11/15/2025","244 Millwood  Loop #30 ","Millwood Landing","","","","1.220","53,143","$64,000"
"1","21110476","","LAND","Improved Land","Active","11/15/2025","240 Millwood  Loop #32 ","Millwood Landing","","","","1.350","58,806","$64,000"
"1","21110480","","LAND","Improved Land","Active","11/15/2025","238 Millwood  Loop #33 ","Millwood Landing","","","","1.510","65,776","$64,000"
"1","21110482","","LAND","Improved Land","Active","11/15/2025","236 Millwood  Loop #34 ","Millwood Landing","","","","1.100","47,916","$64,000"
"1","21111957","","LAND","Improved Land","Active","11/15/2025","226 Millwood  Loop #39 ","Millwood Landing","","","","1.470","64,033","$64,000"
"1","21111981","","LAND","Improved Land","Active","11/15/2025","224 Millwood  Loop #40 ","Millwood Landing","","","","1.630","71,003","$64,000"
"1","21112354","","LAND","Improved Land","Active","11/15/2025","204 Millwood  Loop #50 ","Millwood Landing","","","","1.170","50,965","$64,000"
"1","21112365","","LAND","Improved Land","Active","11/15/2025","202 Millwood  Loop #51 ","Millwood Landing","","","","1.250","54,450","$64,000"
"1","21112384","","LAND","Improved Land","Active","11/15/2025","200 Millwood  Loop #52 ","Millwood Landing","","","","1.180","51,401","$64,000"
"1","21107603","","LAND","Improved Land","Active","11/15/2025","209 Millwood  Loop #5 ","Millwood Landing","","","","1.010","43,996","$60,000"
"1","21107616","","LAND","Improved Land","Active","11/15/2025","213 Millwood  Loop #7 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21108245","","LAND","Improved Land","Active","11/15/2025","227 Millwood  Loop #14 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21108251","","LAND","Improved Land","Active","11/15/2025","229 Millwood  Loop #15 ","Millwood Landing","","","","1.020","44,431","$60,000"
"1","21108255","","LAND","Improved Land","Active","11/15/2025","231 Millwood  Loop #16 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21108277","","LAND","Improved Land","Active","11/15/2025","241 Millwood  Loop #21 ","Millwood Landing","","","","1.010","43,996","$60,000"
"1","21108283","","LAND","Improved Land","Active","11/15/2025","243 Millwood  Loop #22 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21108285","","LAND","Improved Land","Active","11/15/2025","245 Millwood  Loop #23 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21109192","","LAND","Improved Land","Active","11/15/2025","247 Millwood  Loop #24 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21109208","","LAND","Improved Land","Active","11/15/2025","249 Millwood  Loop #25 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21110473","","LAND","Improved Land","Active","11/15/2025","242 Millwood  Loop #31 ","Millwood Landing","","","","1.080","47,045","$60,000"
"1","21110484","","LAND","Improved Land","Active","11/15/2025","234 Millwood  Loop #35 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21111109","","LAND","Improved Land","Active","11/15/2025","232 Millwood  Loop #36 ","Millwood Landing","","","","1.000","43,560","$60,000"
"1","21111917","","LAND","Improved Land","Active","11/15/2025","230 Millwood  Loop #37 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21112134","","LAND","Improved Land","Active","11/15/2025","222 Millwood  Loop #41 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21112143","","LAND","Improved Land","Active","11/15/2025","220 Millwood  Loop #42 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21112231","","LAND","Improved Land","Active","11/15/2025","218 Millwood  Loop #43 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21112245","","LAND","Improved Land","Active","11/15/2025","216 Millwod  Loop #44 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21112257","","LAND","Improved Land","Active","11/15/2025","214 Millwood  Loop #45 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","21112276","","LAND","Improved Land","Active","11/15/2025","212 Millwood  Loop #46 ","Millwood Landing","","","","1.000","43,560","$60,000"
"1","21112339","","LAND","Improved Land","Active","11/15/2025","210 Millwood  Loop #47 ","Millwood Landing","","","","1.010","43,996","$60,000"
"1","21113863","","LAND","Improved Land","Active","11/15/2025","228 Millwood  Loop #38 ","Millwood Landing","","","","1.030","44,867","$60,000"
"1","20982506","","COMS","Unimproved Land","Active","06/26/2025","1312 Sibley  Road ","Brown J M Sub Of Large Lo","","","","1.109","48,308","$55,000"
"1","21257415","","LAND","Improved Land","Active","05/01/2026","00 North Main  Street ","Inside city limits","","","","1.000","43,560","$25,000"
"1","21126348","","LAND","Improved Land","Active","12/04/2025","100 Laurel  Circle ","Woodhaven Sub","","","","0.436","18,992","$20,000"
